Artysta;Rok
ORIGINAL CAST RECORDING;1965
BEATLES;1967
SIMON & GARFUNKEL;1970
PINK FLOYD;1973
MIKE OLDFIELD;1973
ABBA;1975
MEAT LOAF;1977
ORIGINAL SOUNDTRACK;1977
FLEETWOOD MAC;1977
JEFF WAYNE;1978
QUEEN;1981
MICHAEL JACKSON;1982
BOB MARLEY & THE WAILERS;1984
DIRE STRAITS;1985
PAUL SIMON;1986
U2;1987
TRACY CHAPMAN;1988
PHIL COLLINS;1989
MADONNA;1990
SIMPLY RED;1991
REM;1992
ALANIS MORISSETTE;1995
OASIS;1995
SPICE GIRLS;1996
SHANIA TWAIN;1997
VERVE;1997
CORRS;1997
DAVID GRAY;1998
GEORGE MICHAEL;1998
ROBBIE WILLIAMS;1998
TRAVIS;1999
COLDPLAY;2000
EMINEM;2000
DIDO;2000
NORAH JONES;2002
SCISSOR SISTERS;2004
JAMES BLUNT;2004
KEANE;2004
TAKE THAT;2005
SNOW PATROL;2006
AMY WINEHOUSE;2006
LEONA LEWIS;2007
KINGS OF LEON;2008
LADY GAGA;2008
MICHAEL BUBLE;2009
ADELE;2011
ED SHEERAN;2014
